                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.29167,                0.30034,                0.91003,                0.76952,                0.68162,                0.76509,                0.61617,                0.99884,                 1.1234,                 1.4909,              1.783e-05,              1.783e-05,              1.783e-05
                     85,                0.28223,                0.29362,                 0.9134,                0.85657,                0.68734,                0.77695,                0.62381,                0.98547,                 1.0238,                 1.4664,              1.684e-05,              1.684e-05,              1.684e-05
                     86,                0.29392,                0.30708,                0.91237,                0.80626,                0.70507,                0.76993,                0.61191,                 1.0219,                 1.0641,                 1.4922,              1.585e-05,              1.585e-05,              1.585e-05
                     87,                0.28963,                0.28818,                0.90895,                0.77132,                0.72274,                0.77699,                 0.6171,                0.99315,                 1.0749,                 1.4672,              1.486e-05,              1.486e-05,              1.486e-05
                     88,                0.27755,                0.28283,                0.90227,                0.79546,                0.73819,                0.77916,                 0.6212,                0.99796,                   1.05,                 1.4932,              1.387e-05,              1.387e-05,              1.387e-05
                     89,                0.27531,                0.28423,                 0.8989,                0.79403,                0.73118,                 0.7791,                0.61122,                 1.0062,                 1.0525,                 1.5166,              1.288e-05,              1.288e-05,              1.288e-05
                     90,                  0.279,                0.27567,                0.91039,                0.78798,                0.71541,                0.77192,                0.60511,                 1.0014,                 1.0653,                 1.5035,              1.189e-05,              1.189e-05,              1.189e-05
                     91,                0.26852,                0.27831,                 0.8993,                0.83067,                 0.7008,                0.77566,                0.61093,                0.99731,                 1.0783,                  1.515,               1.09e-05,               1.09e-05,               1.09e-05
                     92,                0.26842,                0.26694,                0.90182,                0.82755,                0.68769,                0.77048,                0.61132,                 1.0099,                 1.1365,                 1.5061,               9.91e-06,               9.91e-06,               9.91e-06
                     93,                0.27385,                0.26889,                0.89625,                0.83203,                0.69032,                0.78135,                0.62144,                0.99947,                 1.1018,                 1.4902,               8.92e-06,               8.92e-06,               8.92e-06
                     94,                0.27516,                 0.2694,                0.90405,                0.87529,                0.68127,                0.78008,                0.61883,                0.99203,                 1.1139,                 1.4805,               7.93e-06,               7.93e-06,               7.93e-06
                     95,                0.26069,                 0.2655,                  0.898,                0.86532,                 0.6836,                0.77858,                0.62024,                 1.0075,                 1.1019,                 1.4993,               6.94e-06,               6.94e-06,               6.94e-06
                     96,                0.26463,                0.25698,                0.89758,                0.87134,                0.68386,                0.78155,                0.62497,                0.99217,                 1.0943,                 1.4917,               5.95e-06,               5.95e-06,               5.95e-06
                     97,                0.25847,                0.25203,                0.89018,                0.84028,                0.67747,                0.78016,                0.62167,                0.99982,                 1.0884,                 1.4997,               4.96e-06,               4.96e-06,               4.96e-06
                     98,                0.26428,                0.25583,                0.89929,                 0.7392,                0.73754,                0.77629,                0.61847,                0.98562,                 1.1012,                  1.481,               3.97e-06,               3.97e-06,               3.97e-06
                     99,                0.26041,                0.25165,                0.89365,                0.76325,                0.71455,                0.77803,                0.62156,                0.99106,                 1.1031,                 1.4823,               2.98e-06,               2.98e-06,               2.98e-06
